,temperature,p,alpha_plus,alpha_minus,seed,total_reward
118,0.01,0.1,0.001,0.005,19,8040
119,0.01,0.1,0.001,0.005,20,7912
120,0.01,0.1,0.001,0.005,21,8020
121,0.01,0.1,0.001,0.005,22,7904
122,0.01,0.1,0.001,0.005,23,7922
123,0.01,0.1,0.001,0.005,24,7962
124,0.01,0.1,0.001,0.005,25,7920
125,0.01,0.1,0.001,0.005,26,7938
126,0.01,0.1,0.001,0.005,27,8006
127,0.01,0.1,0.001,0.005,28,7914
128,0.01,0.1,0.001,0.005,29,7984
129,0.01,0.1,0.001,0.005,30,8070
130,0.01,0.1,0.001,0.005,31,8022
131,0.01,0.1,0.001,0.005,32,7962
132,0.01,0.1,0.001,0.005,33,7900
133,0.01,0.1,0.001,0.005,34,8024
134,0.01,0.1,0.001,0.005,35,7910
135,0.01,0.1,0.001,0.005,36,8048
136,0.01,0.1,0.001,0.005,37,8006
137,0.01,0.1,0.001,0.005,38,7986
138,0.01,0.1,0.001,0.005,39,7984
139,0.01,0.1,0.001,0.005,40,8048
140,0.01,0.1,0.001,0.005,41,7962
141,0.01,0.1,0.001,0.005,42,8058
142,0.01,0.1,0.001,0.005,43,7966
143,0.01,0.1,0.001,0.005,44,7814
144,0.01,0.1,0.001,0.005,45,7940
145,0.01,0.1,0.001,0.005,46,8118
146,0.01,0.1,0.001,0.005,47,8046
147,0.01,0.1,0.001,0.005,48,7948
148,0.01,0.1,0.001,0.005,49,7982
149,0.01,0.1,0.001,0.005,50,7926
150,0.01,0.1,0.001,0.0075,1,7926
151,0.01,0.1,0.001,0.0075,2,7930
152,0.01,0.1,0.001,0.0075,3,8014
153,0.01,0.1,0.001,0.0075,4,7884
154,0.01,0.1,0.001,0.0075,5,8062
155,0.01,0.1,0.001,0.0075,6,7984
156,0.01,0.1,0.001,0.0075,7,8002
157,0.01,0.1,0.001,0.0075,8,8016
158,0.01,0.1,0.001,0.0075,9,7940
159,0.01,0.1,0.001,0.0075,10,7960
160,0.01,0.1,0.001,0.0075,11,7994
161,0.01,0.1,0.001,0.0075,12,8020
162,0.01,0.1,0.001,0.0075,13,8014
163,0.01,0.1,0.001,0.0075,14,8092
164,0.01,0.1,0.001,0.0075,15,7936
165,0.01,0.1,0.001,0.0075,16,8006
166,0.01,0.1,0.001,0.0075,17,8018
167,0.01,0.1,0.001,0.0075,18,7946
168,0.01,0.1,0.001,0.0075,19,8032
169,0.01,0.1,0.001,0.0075,20,7904
170,0.01,0.1,0.001,0.0075,21,8016
171,0.01,0.1,0.001,0.0075,22,7876
172,0.01,0.1,0.001,0.0075,23,7914
173,0.01,0.1,0.001,0.0075,24,7950
174,0.01,0.1,0.001,0.0075,25,7912
175,0.01,0.1,0.001,0.0075,26,7918
176,0.01,0.1,0.001,0.0075,27,7994
177,0.01,0.1,0.001,0.0075,28,7890
178,0.01,0.1,0.001,0.0075,29,7960
179,0.01,0.1,0.001,0.0075,30,8070
180,0.01,0.1,0.001,0.0075,31,8018
181,0.01,0.1,0.001,0.0075,32,7950
182,0.01,0.1,0.001,0.0075,33,7904
183,0.01,0.1,0.001,0.0075,34,8016
184,0.01,0.1,0.001,0.0075,35,7914
185,0.01,0.1,0.001,0.0075,36,8048
186,0.01,0.1,0.001,0.0075,37,7994
187,0.01,0.1,0.001,0.0075,38,7986
188,0.01,0.1,0.001,0.0075,39,7960
189,0.01,0.1,0.001,0.0075,40,8044
190,0.01,0.1,0.001,0.0075,41,7922
